assemblea,codice,status,elettori,votanti,perc_votanti,aggiornamento,sezioni_perv,sezioni,coll_uni_perv,coll_uni,sezioni_coll_uni_perv,sk_bianche,sk_nulle,sk_contestate,livello,fine_riparto
scrutiniCI,05120150980,ESERCIZIO,2517,2033,"80,77",Dato aggiornato al 05/03/2018 - 06:02,3,3,,,,23,65,0,C,
scrutiniCI,05120151020,ESERCIZIO,464,377,"81,25",Dato aggiornato al 05/03/2018 - 05:01,1,1,,,,10,18,0,C,
scrutiniCI,05120151030,ESERCIZIO,1482,1213,"81,84",Dato aggiornato al 05/03/2018 - 04:54,4,4,,,,22,51,0,C,
scrutiniCI,05120151040,ESERCIZIO,3557,2962,"83,27",Dato aggiornato al 05/03/2018 - 03:45,3,3,,,,36,98,0,C,
scrutiniCI,05120151060,ESERCIZIO,584,469,"80,30",Dato aggiornato al 05/03/2018 - 04:30,1,1,,,,12,23,0,C,
scrutiniCI,05120151090,ESERCIZIO,1535,1217,"79,28",Dato aggiornato al 05/03/2018 - 05:28,2,2,,,,44,73,0,C,
scrutiniCI,05120151120,ESERCIZIO,1339,1000,"74,68",Dato aggiornato al 05/03/2018 - 06:48,2,2,,,,20,37,0,C,
scrutiniCI,05120151150,ESERCIZIO,793,670,"84,48",Dato aggiornato al 05/03/2018 - 03:55,1,1,,,,18,34,0,C,
scrutiniCI,05120151190,ESERCIZIO,1194,918,"76,88",Dato aggiornato al 05/03/2018 - 03:28,2,2,,,,21,31,0,C,
scrutiniCI,05120151220,ESERCIZIO,162,119,"73,45",Dato aggiornato al 05/03/2018 - 01:41,1,1,,,,5,6,0,C,
scrutiniCI,05120151260,ESERCIZIO,513,413,"80,50",Dato aggiornato al 05/03/2018 - 06:40,1,1,,,,16,32,0,C,
scrutiniCI,05120151300,ESERCIZIO,468,349,"74,57",Dato aggiornato al 05/03/2018 - 02:38,1,1,,,,9,19,0,C,
scrutiniCI,05120151310,ESERCIZIO,504,380,"75,39",Dato aggiornato al 05/03/2018 - 05:08,1,1,,,,9,15,0,C,
scrutiniCI,05120151320,ESERCIZIO,1236,954,"77,18",Dato aggiornato al 05/03/2018 - 03:47,2,2,,,,30,45,0,C,
scrutiniCI,05120151330,ESERCIZIO,3288,2639,"80,26",Dato aggiornato al 05/03/2018 - 08:39,5,5,,,,70,114,0,C,
